Algorithm	Optimization	Threads	Finished time (ms)	Combinations evaluated
single-pearson	base	8	1779	84/196759
single-pearson	base	8	1841	84/196759
single-pearson	base	8	1698	84/196759
single-pearson	opt-1	8	448	10/196759
single-pearson	opt-1	8	445	10/196759
single-pearson	opt-1	8	482	10/196759
single-pearson	opt-2	8	508	10/196759
single-pearson	opt-2	8	445	10/196759
single-pearson	opt-2	8	427	10/196759
single-pearson	opt-3	8	450	10/196759
single-pearson	opt-3	8	453	10/196759
single-pearson	opt-3	8	431	10/196759
single-pearson	opt-4	8	402	10/196759
single-pearson	opt-4	8	410	10/196759
single-pearson	opt-4	8	405	10/196759
single-pearson	opt-7	8	306	10/196759
single-pearson	opt-7	8	286	10/196759
single-pearson	opt-7	8	285	10/196759
single-pearson	R_WGCNA	8	1435	84/196759 
single-pearson	R_WGCNA	8	1069	84/196759 
single-pearson	R_WGCNA	8	753	84/196759 
single-kendalls	base	8	16464	0/196759
single-kendalls	base	8	16340	0/196759
single-kendalls	base	8	16426	0/196759
single-kendalls	opt-1	8	3932	0/196759
single-kendalls	opt-1	8	4246	0/196759
single-kendalls	opt-1	8	4496	0/196759
single-kendalls	opt-2	8	4784	0/196759
single-kendalls	opt-2	8	4351	0/196759
single-kendalls	opt-2	8	4473	0/196759
single-kendalls	opt-3	8	4590	0/196759
single-kendalls	opt-3	8	4614	0/196759
single-kendalls	opt-3	8	4589	0/196759
single-kendalls	opt-4	8	4669	0/196759
single-kendalls	opt-4	8	4718	0/196759
single-kendalls	opt-4	8	4778	0/196759
single-kendalls	opt-5	8	4595	0/196759
single-kendalls	opt-5	8	4463	0/196759
single-kendalls	opt-5	8	4712	0/196759
single-kendalls	opt-6	8	4318	0/196759
single-kendalls	opt-6	8	5090	0/196759
single-kendalls	opt-6	8	4513	0/196759
single-kendalls	R_WGCNA	8	1047567	0/196759 
