Dataset	Algorithm	Optimization	Threads	Finished time (ms)	Combinations evaluated
5	single-kendalls	opt-6	8	1102	0/49159
5	single-kendalls	R_WGCNA	8	239247	0/49159 
5	single-kendalls	R_WGCNA	8	235783	0/49159 
5	single-kendalls	R_WGCNA	8	241841	0/49159 
5	single-spearman	base	8	5140	10/49159
5	single-spearman	base	8	5044	10/49159
5	single-spearman	base	8	5026	10/49159
5	single-spearman	opt-1	8	1255	10/49159
5	single-spearman	opt-1	8	1233	10/49159
5	single-spearman	opt-1	8	1246	10/49159
5	single-spearman	opt-2	8	1254	10/49159
5	single-spearman	opt-2	8	1244	10/49159
5	single-spearman	opt-2	8	1340	10/49159
5	single-spearman	opt-3	8	1249	10/49159
5	single-spearman	opt-3	8	1252	10/49159
5	single-spearman	opt-3	8	1299	10/49159
5	single-spearman	opt-4	8	1258	10/49159
5	single-spearman	opt-4	8	1207	10/49159
5	single-spearman	opt-4	8	1220	10/49159
5	single-spearman	R_WGCNA	8	9283	41/49159 
5	single-spearman	R_WGCNA	8	8655	41/49159 
5	single-spearman	R_WGCNA	8	8510	41/49159 
